571: 1	519	0.368489
572: 0	736	0.369226
573: 1	553	0.369779
574: 0	799	0.370578
575: 1	489	0.371067
576: 0	735	0.371803
577: 1	554	0.372358
578: 0	776	0.373134
579: 1	513	0.373648
580: 0	774	0.374423
581: 1	512	0.374935
582: 0	733	0.375669
583: 1	557	0.376227
584: 0	794	0.377021
585: 1	494	0.377515
586: 0	762	0.378278
587: 1	525	0.378804
588: 0	794	0.379598
589: 1	496	0.380094
590: 0	771	0.380866
591: 1	518	0.381384
592: 0	790	0.382175
593: 1	497	0.382673
594: 0	769	0.383443
595: 1	520	0.383963
596: 0	789	0.384752
597: 1	498	0.385251
598: 0	789	0.386041
599: 1	500	0.386541
600: 0	766	0.387308
601: 1	522	0.387831
602: 0	789	0.388618
603: 1	499	0.389120
604: 0	786	0.389906
605: 1	502	0.390409
606: 0	785	0.391195
607: 1	503	0.391699
608: 0	784	0.392484
609: 1	505	0.392989
610: 0	772	0.393762
611: 1	517	0.394279
612: 0	770	0.395050
613: 1	516	0.395567
614: 0	793	0.396360
615: 1	498	0.396858
616: 0	790	0.397648
617: 1	497	0.398146
618: 0	843	0.398990
619: 1	498	0.399489
620: 0	768	0.400257
621: 1	520	0.400777
622: 0	768	0.401546
623: 1	522	0.402069
624: 0	765	0.402834
625: 1	522	0.403357
626: 0	766	0.404123
627: 1	522	0.404646
628: 0	766	0.405412
629: 1	523	0.405935
630: 0	817	0.406753
631: 1	474	0.407227
632: 0	793	0.408021
633: 1	493	0.408514
634: 0	710	0.409225
635: 1	553	0.409778
636: 0	798	0.410577
637: 1	490	0.411067
638: 0	787	0.411855
639: 1	502	0.412358
640: 0	785	0.413144
641: 1	503	0.413647
642: 0	816	0.414464
643: 1	472	0.414936
644: 0	763	0.415700
645: 1	527	0.416227
646: 0	814	0.417041
647: 1	474	0.417515
648: 0	772	0.418288
649: 1	516	0.418804
650: 0	793	0.419597
651: 1	496	0.420094
652: 0	812	0.420907
653: 1	477	0.421384
654: 0	790	0.422174
655: 1	499	0.422674
656: 0	768	0.423442
657: 1	520	0.423963
658: 0	788	0.424752
659: 1	500	0.425252
660: 0	788	0.426040
661: 1	501	0.426542
662: 0	766	0.427308
663: 1	522	0.427830
664: 0	766	0.428597
665: 1	549	0.429146
666: 0	802	0.429949
667: 1	487	0.430437
668: 0	800	0.431237
669: 1	489	0.431727
670: 0	788	0.432516
671: 1	499	0.433015
672: 0	789	0.433804
673: 1	500	0.434305
674: 0	809	0.435114
675: 1	479	0.435593
676: 0	735	0.436329
677: 1	555	0.436885
678: 0	785	0.437670
679: 1	503	0.438173
680: 0	796	0.438969
681: 1	492	0.439462
682: 0	795	0.440258
683: 1	494	0.440753
684: 0	793	0.441547
685: 1	494	0.442041
686: 0	794	0.442835
687: 1	496	0.443332
688: 0	823	0.444156
689: 1	517	0.444674
690: 0	791	0.445465
691: 1	496	0.445961
692: 0	771	0.446733
693: 1	520	0.447253
694: 0	767	0.448021
695: 1	494	0.448515
696: 0	762	0.449278
697: 1	553	0.449832
698: 0	787	0.450620
699: 1	500	0.451120
700: 0	766	0.451887
701: 1	523	0.452411
702: 0	765	0.453176
703: 1	524	0.453700
704: 0	764	0.454465
705: 1	499	0.454964
706: 0	820	0.455785
707: 1	467	0.456252
708: 0	789	0.457041
709: 1	499	0.457541
710: 0	789	0.458330
711: 1	527	0.458857
712: 0	771	0.459629
713: 1	518	0.460148
714: 0	759	0.460907
715: 1	530	0.461438
716: 0	1338	0.462777
717: 1	474	0.463251
718: 0	792	0.464044
719: 1	498	0.464542
720: 0	790	0.465333
721: 1	525	0.465858
722: 0	995	0.466853
723: 1	529	0.467383
724: 0	769	0.468153
725: 1	521	0.468674
726: 0	746	0.469420
727: 1	489	0.469909
728: 0	767	0.470677
729: 1	444	0.471121
730: 0	781	0.471902
731: 1	455	0.472358
732: 0	769	0.473127
733: 1	467	0.473595
734: 0	736	0.474331
735: 1	473	0.474805
736: 0	783	0.475588
737: 1	453	0.476042
738: 0	740	0.476782
739: 1	495	0.477278
740: 0	739	0.478017
741: 1	471	0.478489
742: 0	785	0.479274
743: 1	477	0.479752
744: 0	736	0.480489
745: 1	499	0.480989
746: 0	768	0.481757
747: 1	443	0.482200
748: 0	770	0.482971
749: 1	465	0.483437
750: 0	707	0.484144
751: 1	529	0.484673
752: 0	738	0.485411
753: 1	500	0.485911
754: 0	767	0.486679
755: 1	440	0.487120
756: 0	805	0.487925
757: 1	433	0.488359
758: 0	812	0.489172
759: 1	502	0.489674
760: 0	743	0.490418
761: 1	466	0.490884
762: 0	769	0.491654
763: 1	468	0.492122
764: 0	704	0.492826
765: 1	531	0.493357
766: 0	736	0.494094
767: 1	501	0.494595
768: 0	744	0.495340
769: 1	466	0.495806
770: 0	706	0.496512
771: 1	530	0.497043
772: 0	789	0.497833
773: 1	446	0.498279
774: 0	821	0.499100
775: 1	519	0.499620
776: 0	769	0.500389
777: 1	521	0.500911
778: 0	819	0.501730
779: 1	468	0.502199
780: 0	788	0.502987
781: 1	501	0.503489
782: 0	765	0.504255
783: 1	524	0.504779
784: 0	785	0.505564
785: 1	504	0.506069
786: 0	794	0.506864
787: 1	468	0.507332
788: 0	788	0.508121
789: 1	526	0.508647
790: 0	740	0.509388
791: 1	547	0.509936
792: 0	772	0.510708
793: 1	518	0.511226
794: 0	791	0.512018
795: 1	498	0.512516
796: 0	769	0.513285
797: 1	519	0.513804
798: 0	769	0.514574
799: 1	493	0.515068
800: 0	816	0.515884
801: 1	473	0.516358
802: 0	793	0.517151
803: 1	496	0.517648
804: 0	813	0.518461
805: 1	475	0.518936
806: 0	813	0.519749
807: 1	476	0.520226
808: 0	790	0.521017
809: 1	498	0.521515
810: 0	811	0.522327
811: 1	478	0.522805
812: 0	735	0.523541
813: 1	553	0.524095
814: 0	735	0.524830
815: 1	554	0.525385
816: 0	765	0.526151
817: 1	522	0.526673
818: 0	765	0.527439
819: 1	524	0.527964
820: 0	764	0.528728
821: 1	524	0.529252
822: 0	795	0.530048
823: 1	494	0.530543
824: 0	762	0.531305
825: 1	526	0.531832
826: 0	793	0.532625
827: 1	470	0.533095
828: 0	797	0.533893
829: 1	490	0.534384
830: 0	819	0.535203
831: 1	471	0.535674
832: 0	785	0.536460
833: 1	503	0.536964
834: 0	732	0.537696
835: 1	557	0.538254
836: 0	815	0.539069
837: 1	500	0.539569
838: 0	767	0.540336
839: 1	521	0.540858
840: 0	788	0.541646
841: 1	474	0.542120
842: 0	793	0.542914
843: 1	496	0.543410
844: 0	781	0.544192
845: 1	507	0.544699
846: 0	760	0.545459
847: 1	531	0.545990
848: 0	736	0.546727
849: 1	551	0.547278
850: 0	768	0.548047
851: 1	520	0.548568
852: 0	788	0.549357
853: 1	501	0.549859
854: 0	776	0.550635
855: 1	512	0.551147
856: 0	734	0.551881
857: 1	556	0.552438
858: 0	764	0.553202
859: 1	551	0.553753
860: 0	737	0.554490
861: 1	526	0.555017
862: 0	761	0.555779
863: 1	527	0.556306
864: 0	792	0.557099
865: 1	469	0.557569
866: 0	797	0.558367
867: 1	518	0.558885
868: 0	769	0.559655
869: 1	491	0.560147
870: 0	786	0.560933
871: 1	502	0.561436
872: 0	817	0.562254
873: 1	472	0.562726
874: 0	784	0.563511
875: 1	504	0.564015
876: 0	784	0.564799
877: 1	506	0.565306
878: 0	792	0.566098
879: 1	497	0.566596
880: 0	790	0.567387
881: 1	496	0.567884
882: 0	791	0.568676
883: 1	497	0.569173
884: 0	790	0.569964
885: 1	500	0.570464
886: 0	767	0.571231
887: 1	521	0.571753
888: 0	798	0.572552
889: 1	490	0.573042
890: 0	788	0.573830
891: 1	476	0.574306
892: 0	790	0.575097
893: 1	498	0.575596
894: 0	811	0.576407
895: 1	476	0.576884
896: 0	738	0.577622
897: 1	552	0.578174
898: 0	820	0.578995
899: 1	495	0.579490
900: 0	793	0.580284
901: 1	496	0.580780
902: 0	791	0.581572
903: 1	495	0.582068
904: 0	782	0.582850
905: 1	508	0.583359
906: 0	801	0.584160
907: 1	488	0.584649
908: 0	736	0.585385
909: 1	551	0.585936
910: 0	769	0.586705
911: 1	522	0.587227
912: 0	808	0.588036
913: 1	480	0.588517
914: 0	786	0.589304
915: 1	502	0.589806
916: 0	764	0.590571
917: 1	523	0.591095
918: 0	765	0.591860
919: 1	499	0.592359
920: 0	789	0.593148
921: 1	498	0.593646
922: 0	811	0.594458
923: 1	479	0.594938
924: 0	735	0.595673
925: 1	553	0.596227
926: 0	766	0.596993
927: 1	522	0.597516
928: 0	787	0.598303
929: 1	503	0.598806
930: 0	764	0.599570
931: 1	525	0.600096
932: 0	762	0.600859
933: 1	526	0.601385
934: 0	793	0.602179
935: 1	494	0.602674
936: 0	762	0.603436
937: 1	528	0.603964
938: 0	760	0.604725
939: 1	501	0.605226
940: 0	819	0.606045
941: 1	471	0.606516
942: 0	785	0.607302
943: 1	502	0.607805
944: 0	807	0.608612
945: 1	482	0.609094
946: 0	784	0.609879
947: 1	505	0.610385
948: 0	782	0.611168
949: 1	506	0.611674
950: 0	781	0.612456
951: 1	506	0.612963
952: 0	739	0.613703
953: 1	550	0.614253
954: 0	758	0.615012
955: 1	529	0.615542
956: 0	769	0.616311
957: 1	521	0.616833
958: 0	788	0.617621
959: 1	473	0.618094
960: 0	794	0.618888
961: 1	522	0.619411
962: 0	786	0.620198
963: 1	475	0.620674
964: 0	791	0.621466
965: 1	497	0.621963
966: 0	812	0.622775
967: 1	477	0.623252
968: 0	737	0.623990
969: 1	553	0.624543
970: 0	788	0.625331
971: 1	499	0.625831
972: 0	768	0.626599
973: 1	523	0.627122
974: 0	786	0.627909
975: 1	503	0.628412
976: 0	816	0.629229
977: 1	472	0.629702
978: 0	794	0.630496
979: 1	493	0.630989
980: 0	795	0.631785
981: 1	467	0.632252
982: 0	800	0.633052
983: 1	489	0.633542
984: 0	788	0.634331
985: 1	501	0.634832
986: 0	786	0.635619
987: 1	501	0.636121
988: 0	808	0.636929
989: 1	481	0.637410
990: 0	733	0.638144
991: 1	557	0.638701
992: 0	783	0.639485
993: 1	503	0.639989
994: 0	774	0.640763
995: 1	515	0.641278
996: 0	762	0.642041
997: 1	528	0.642570
998: 0	823	0.643393
999: 1	464	0.643857
1000: 0	792	0.644650
1001: 1	523	0.645174
1002: 0	786	0.645960
1003: 1	477	0.646437
1004: 0	790	0.647227
1005: 1	498	0.647726
1006: 0	811	0.648537
1007: 1	478	0.649015
1008: 0	778	0.649794
1009: 1	511	0.650305
